BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93057.0567109 cm-1
	ZPE2 - ZPE1    :     -690.9218789 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
  72  66    A  956.30    -2.98614   0.19810    0.01962      18.76    A  964.91    -0.01437   0.00096    0.00000       0.00   72   72  -0.0026
  73  67    A 1004.42     0.05119   0.00348    0.00001       0.01    A  968.50    -2.58446   0.17254    0.01489      14.42   73   73  -0.1293
  74  68    A 1005.45    -0.17740   0.01207    0.00007       0.07    A  978.30     0.00678   0.00045    0.00000       0.00   74   74   0.0712
  75  69    A 1008.88     0.02960   0.00202    0.00000       0.00    A  994.52     0.04734   0.00320    0.00001       0.01   75   75  -0.0227
  76  70    A 1008.91    -0.30110   0.02052    0.00021       0.21    A 1002.33     0.09560   0.00649    0.00002       0.02   76   76   0.0177
  77  71    A 1023.62    -0.00048   0.00003    0.00000       0.00    A 1002.35     0.06046   0.00411    0.00001       0.01   77   77   0.0000
  78  72    A 1023.71    -0.43062   0.02956    0.00044       0.45    A 1003.38    -0.00619   0.00042    0.00000       0.00   78   78  -0.0000
  79  73    A 1025.25     0.00165   0.00011    0.00000       0.00    A 1017.98     0.00077   0.00005    0.00000       0.00   79   79   0.0001
  80  74    A 1026.80    -0.01456   0.00100    0.00000       0.00    A 1018.53    -0.59776   0.04092    0.00084       0.85   80   80   0.0001
  81  75    A 1031.35     0.00061   0.00004    0.00000       0.00    A 1020.24    -0.00226   0.00015    0.00000       0.00   81   81  -0.9864
  82  76    A 1031.36     0.00159   0.00011    0.00000       0.00    A 1020.24    -0.00213   0.00015    0.00000       0.00   82   82   0.9858
  83  77    A 1035.34     0.63363   0.04374    0.00096       0.99    A 1039.46     0.00042   0.00003    0.00000       0.00   83   83  -0.0010
  84  78    A 1039.97     0.00057   0.00004    0.00000       0.00    A 1050.56    -0.50865   0.03537    0.00063       0.66   84   84   0.0001
  85  79    A 1055.69     1.36634   0.09523    0.00453       4.79    A 1057.66     0.85802   0.05986    0.00179       1.89   85   85  -0.3436
  86  80    A 1059.59    -0.41086   0.02869    0.00041       0.44    A 1066.15     0.00005   0.00000    0.00000       0.00   86   86  -0.0000
  87  81    A 1067.92    -0.00040   0.00003    0.00000       0.00    A 1078.40     0.75151   0.05294    0.00140       1.51   87   87   0.0002
  88  82    A 1090.04     1.08967   0.07718    0.00298       3.25    A 1088.09    -1.35865   0.09614    0.00462       5.03   88   88   0.9824
  89  83    A 1119.23    -0.00029   0.00002    0.00000       0.00    A 1115.51     0.00254   0.00018    0.00000       0.00   89   89   0.9967
  90  84    A 1119.24    -0.01440   0.00103    0.00000       0.00    A 1115.52     0.02609   0.00187    0.00000       0.00   90   90   0.9987
  91  85    A 1165.04     0.00102   0.00007    0.00000       0.00    A 1152.59    -0.00110   0.00008    0.00000       0.00   91   91   0.9889
  92  86    A 1172.07     1.79702   0.13198    0.00871      10.21    A 1169.58     0.00085   0.00006    0.00000       0.00   92   92  -0.0001
  93  87    A 1183.53     0.00056   0.00004    0.00000       0.00    A 1184.12    -1.40909   0.10402    0.00541       6.41   93   93   0.0002
  94  88    A 1197.04     0.00129   0.00010    0.00000       0.00    A 1192.47     0.00170   0.00013    0.00000       0.00   94   94   0.9974
  95  89    A 1197.04    -0.02750   0.00204    0.00000       0.00    A 1192.48     0.04958   0.00367    0.00001       0.01   95   95   0.9973
  96  90    A 1204.92     2.29725   0.17106    0.01463      17.63    A 1196.72    -2.50846   0.18615    0.01733      20.74   96   96   0.8985
  97  91    A 1217.24     1.25691   0.09407    0.00442       5.39    A 1212.69    -0.00047   0.00003    0.00000       0.00   97   97   0.0002
  98  92    A 1217.44     0.00035   0.00003    0.00000       0.00    A 1214.25    -1.03061   0.07704    0.00297       3.60   98   98   0.0002
  99  93    A 1222.66    -3.44830   0.25866    0.03345      40.90    A 1223.91    -0.00045   0.00003    0.00000       0.00   99   99  -0.0001
 100  94    A 1238.71     0.00014   0.00001    0.00000       0.00    A 1231.02     4.33742   0.32646    0.05329      65.60  100  100   0.0001
 101  95    A 1264.22    -0.00028   0.00002    0.00000       0.00    A 1259.42     2.44636   0.18624    0.01734      21.84  101  101  -0.0003
 102  96    A 1280.37     0.00025   0.00002    0.00000       0.00    A 1269.42     0.00121   0.00009    0.00000       0.00  102  102   0.0533
 103  97    A 1280.88     3.94443   0.30284    0.04585      58.73    A 1279.44     0.00065   0.00005    0.00000       0.00  103  103  -0.0003
 104  98    A 1321.40    -2.05649   0.16037    0.01286      16.99    A 1322.92     0.00011   0.00001    0.00000       0.00  104  104   0.0004
 105  99    A 1329.76     0.00056   0.00004    0.00000       0.00    A 1327.49    -0.35500   0.02775    0.00038       0.51  105  105   0.0010
 106 100    A 1334.50     0.00044   0.00003    0.00000       0.00    A 1327.57     0.01209   0.00094    0.00000       0.00  106  106   0.9974
 107 101    A 1334.57     0.10325   0.00809    0.00003       0.04    A 1344.45    -4.73830   0.37270    0.06945      93.38  107  107   0.1339
 108 102    A 1368.53    -5.26428   0.41777    0.08727     119.43    A 1345.63     0.02361   0.00186    0.00000       0.00  108  108   0.0010
 109 103    A 1369.50    -0.00153   0.00012    0.00000       0.00    A 1364.86    -2.23537   0.17716    0.01569      21.42  109  109  -0.0001
 110 104    A 1370.74    -0.12471   0.00991    0.00005       0.07    A 1369.01    -0.00139   0.00011    0.00000       0.00  110  110  -0.0074
 111 105    A 1370.75     0.00029   0.00002    0.00000       0.00    A 1369.03     0.15808   0.01255    0.00008       0.11  111  111   0.0079
 112 106    A 1423.91     0.00059   0.00005    0.00000       0.00    A 1396.20    -3.32698   0.26668    0.03556      49.65  112  112   0.0002
 113 107    A 1436.73    -4.99539   0.40619    0.08249     118.52    A 1406.74    -0.00030   0.00002    0.00000       0.00  113  113   0.0002
 114 108    A 1452.07    -1.11785   0.09138    0.00418       6.06    A 1416.44    -4.43625   0.35817    0.06414      90.85  114  114  -0.5537
 115 109    A 1452.99    -0.00073   0.00006    0.00000       0.00    A 1438.70     0.00056   0.00005    0.00000       0.00  115  115   0.8708
 116 110    A 1487.40    -0.21204   0.01754    0.00015       0.23    A 1444.99    -0.80111   0.06533    0.00213       3.08  116  116   0.8538
 117 111    A 1497.14     0.00068   0.00006    0.00000       0.00    A 1485.22     0.80907   0.06689    0.00224       3.32  117  117   0.0009
 118 112    A 1497.56    -0.02329   0.00193    0.00000       0.00    A 1487.51     0.00152   0.00013    0.00000       0.00  118  118  -0.2011
 119 113    A 1497.56    -0.15873   0.01318    0.00009       0.13    A 1494.75     0.00198   0.00016    0.00000       0.00  119  119  -0.1496
 120 114    A 1503.49    -2.68501   0.22334    0.02494      37.50    A 1494.85    -0.01231   0.00102    0.00000       0.00  120  120  -0.0766
 121 115    A 1525.52    -1.25487   0.10514    0.00553       8.43    A 1512.23     0.00089   0.00007    0.00000       0.00  121  121   0.0004
 122 116    A 1553.65     0.74536   0.06303    0.00199       3.09    A 1528.20    -2.84325   0.23844    0.02843      43.44  122  122   0.0677
 123 117    A 1555.49     0.00044   0.00004    0.00000       0.00    A 1549.08     1.65908   0.14008    0.00981      15.20  123  123  -0.0002
 124 118    A 1579.62    -1.13581   0.09684    0.00469       7.41    A 1553.23     0.00076   0.00006    0.00000       0.00  124  124   0.0002
 125 119    A 1599.96     0.00077   0.00007    0.00000       0.00    A 1562.24     2.80234   0.23761    0.02823      44.10  125  125   0.0002
 126 120    A 1619.62    -3.02794   0.26141    0.03417      55.34    A 1611.64    -2.88363   0.24834    0.03084      49.70  126  126  -0.9031
 127 121    A 1628.99    -3.35423   0.29042    0.04217      68.70    A 1623.78    -0.00097   0.00008    0.00000       0.00  127  127  -0.0003
 128 122    A 1654.02    -0.00635   0.00055    0.00000       0.00    A 1628.70     1.97859   0.17130    0.01467      23.89  128  128   0.0001
 129 123    A 1654.03    -0.00007   0.00001    0.00000       0.00    A 1644.86     0.00285   0.00025    0.00000       0.00  129  129  -0.5799
 130 124    A 1675.86    -0.00026   0.00002    0.00000       0.00    A 1644.86    -0.00258   0.00022    0.00000       0.00  130  130  -0.0201
 131 125    A 1684.63     0.00022   0.00002    0.00000       0.00    A 1661.62     0.00097   0.00009    0.00000       0.00  131  131  -0.2147
 132 126    A 1685.00    -0.51204   0.04509    0.00102       1.71    A 1677.19    -0.00089   0.00008    0.00000       0.00  132  132  -0.0008
 133 127    A 1709.59    -0.00025   0.00002    0.00000       0.00    A 1678.69     0.46435   0.04081    0.00083       1.40  133  133  -0.0002
 134 128    A 1724.19     0.00000   0.00000    0.00000       0.00    A 1685.52     0.00009   0.00001    0.00000       0.00  134  134   0.9421
 135 129    A 2337.98     2.23983   0.23233    0.02699      63.10    A 2256.70    -0.00282   0.00029    0.00000       0.00  135  135   0.0014
 136 130    A 2343.28    -0.00043   0.00005    0.00000       0.00    A 2260.03    -2.27027   0.23153    0.02680      60.57  136  136  -0.0014
 137 131    A 3207.00     0.00002   0.00000    0.00000       0.00    A 3189.89    -0.00003   0.00000    0.00000       0.00  137  137  -0.9986
 138 132    A 3210.16    -0.09214   0.01120    0.00006       0.20    A 3193.14    -0.10257   0.01243    0.00008       0.25  138  138  -0.9993
