BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93057.0567109 cm-1
	ZPE2 - ZPE1    :     -690.9218789 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
-1.959628e-03 -3.731269e-03  5.678118e-05 -3.809445e-05 -5.805740e-06  3.569341e-04 
  MODE     127
 2.013528e-05 -3.203457e-04 -2.125564e-06  9.007472e-05  4.124612e-04  5.597314e-04  5.851785e-04  5.039659e-04  7.476926e-05 -1.633546e-03
-8.066726e-04 -2.725226e-03 -1.053491e-03 -9.641744e-04 -7.950165e-04  2.602210e-04 -3.944155e-04 -4.476778e-04  1.151744e-03 -3.336754e-04
 1.098954e-03 -3.156253e-04 -2.673307e-04 -3.606781e-03  1.781043e-04 -4.627610e-05  1.195758e-06 -7.884113e-03 -3.896461e-04  1.284218e-03
-3.527273e-05 -1.193697e-03 -2.298030e-04  5.480893e-03  2.997417e-03  6.435635e-03  1.878194e-04  8.601846e-03 -2.058164e-04 -2.027040e-04
-2.180685e-03 -4.088496e-03 -1.525138e-03  8.976532e-03  2.469489e-03 -1.219080e-03 -5.156645e-03 -3.831421e-03 -1.631789e-05 -1.843335e-03
 3.032459e-04 -6.279284e-04 -2.674792e-06  5.217634e-04  8.051111e-06  1.298243e-03  2.838445e-03 -2.351521e-04  4.437447e-03 -5.720181e-04
 6.716752e-03  4.628509e-06  1.336015e-06 -2.274563e-05  3.426586e-06 -4.555606e-04  5.279066e-04 -8.162998e-08  1.349012e-03 -1.151023e-04
-3.220872e-04 -2.149458e-04  2.392506e-02 -5.180388e-05  4.660939e-07  4.051507e-07 -4.179366e-06  4.557802e-07 -2.899643e-05 -2.953305e-04
-2.540901e-05 -1.850075e-04 -1.323648e-04  1.637725e-02 -9.255476e-04  4.205379e-05 -1.770052e-02  9.764496e-03 -8.485488e-04 -1.123736e-03
 1.105486e-04  2.043090e-05 -3.352591e-03  1.360024e-05  5.496827e-05  2.584508e-03 -5.598576e-05 -5.827047e-03 -1.072382e-04  2.157411e-02
 2.052573e-02  6.070473e-05 -7.128746e-05 -6.874977e-05  2.520889e-03  1.539004e-03 -1.966352e-03  8.333593e-05 -1.044239e-02 -3.136072e-04
 8.274443e-04  5.127097e-03  2.218939e-04 -3.739969e-02 -4.853175e-05  7.709367e-02 -4.858858e-03  1.636061e-05 -1.062773e-03  1.118640e-03
-1.484342e-04 -4.030215e-02  1.059336e-01  7.641319e-05  2.069935e-01 -1.544647e-01 -3.028584e-04  9.527955e-01 -1.485200e-03 -1.487510e-04
-2.350228e-05  5.710003e-06 -8.312582e-03  3.301150e-05  5.702117e-06  4.765471e-03 -5.347326e-07 -1.534564e-03  9.607842e-07  8.553730e-06
-1.672103e-03  1.081633e-05 -1.649898e-04 -4.038738e-04 -9.000656e-08  6.291741e-06  1.602921e-05 -1.340972e-06  4.824386e-06 -2.946899e-05
 2.251996e-03 -2.546968e-03 -2.084957e-05  8.294441e-05 -3.808967e-06  2.111796e-04 
  MODE     128
-1.822436e-04  2.844620e-03  2.020367e-05 -8.434356e-04 -3.882543e-03 -5.195572e-03 -5.499565e-03 -4.632774e-03 -5.872438e-04  1.541995e-02
 7.400027e-03  2.606838e-02  9.726948e-03  9.076023e-03  2.775036e-04 -2.607588e-03  3.710523e-03  4.077616e-03 -1.065104e-02  3.076717e-03
 3.277326e-03  2.109284e-03  2.509550e-03  3.327545e-02 -1.665118e-03  4.249611e-04 -1.070231e-05  7.271633e-02 -1.570160e-02 -1.182854e-02
 3.346506e-04  1.124901e-02  2.840531e-03 -5.161532e-02 -2.808307e-02 -5.946734e-02 -2.787953e-03 -6.883243e-02  2.967676e-03  2.667133e-03
 2.054079e-02  3.415214e-02  1.435839e-02 -8.269659e-02  9.282917e-03  1.151209e-02  1.768747e-02 -1.667754e-03  1.681762e-04  1.735897e-02
-2.989925e-03  5.812231e-03  1.827823e-05 -4.807457e-03 -9.891332e-05 -1.195600e-02 -2.628945e-02  2.770042e-03 -9.156861e-04  5.378004e-03
-6.055393e-03 -4.695632e-05 -1.345442e-05  2.064281e-04 -3.485867e-05  4.305624e-03 -4.858925e-03 -1.720026e-07 -1.248925e-02  1.344536e-03
 3.048642e-03  1.947546e-03  9.207949e-03  4.756735e-04 -4.807358e-06 -4.784081e-06  3.476995e-05 -1.125906e-06  2.778343e-04  2.154491e-04
 2.657508e-04  1.700399e-03  1.239356e-03 -1.080156e-04 -5.166312e-04 -3.963955e-04  1.983771e-03  5.617122e-04  7.844523e-03  7.617425e-03
-1.002328e-03 -1.992025e-04  9.680762e-04 -2.656332e-04 -2.314972e-03 -7.044639e-04  4.824240e-04  1.630711e-04  9.616017e-04 -1.883280e-03
 1.502771e-03 -5.314938e-04  6.955045e-04  6.369774e-04 -1.304234e-02 -1.474621e-02 -4.112119e-03 -6.513830e-04  1.732790e-03  2.861589e-03
-1.741822e-03 -1.477215e-03 -2.096482e-03  2.035845e-04  9.367811e-04 -2.953884e-05 -2.560521e-03 -2.143007e-04  9.743317e-03 -1.208464e-04
 2.019489e-03  1.298678e-03  3.385266e-04  6.763247e-05  1.947014e-03  1.366485e-04  6.571527e-06  1.060756e-04 -7.973229e-01  5.797401e-01
-8.296824e-05  1.232205e-05  1.901317e-03 -2.103217e-04  1.225130e-05 -2.114781e-04 -7.806220e-08  9.608472e-06 -6.352285e-06 -9.632283e-06
-1.156437e-04 -1.454938e-07 -7.865252e-06  2.428419e-05  1.419548e-06  6.947997e-04 -1.349076e-03 -6.147389e-06 -1.616811e-06  3.942588e-05
 2.110917e-05  5.776138e-05  1.661718e-04 -1.081279e-03  1.675553e-06 -3.458456e-07 
  MODE     129
 2.046894e-06 -1.702012e-05 -3.752882e-06  3.777732e-06  1.726955e-04  2.061728e-04  1.128487e-04 -1.752719e-05 -4.737592e-04 -1.192056e-03
 1.886064e-04 -1.370427e-04  4.438820e-04 -6.467523e-04 -3.707556e-07  1.034721e-03 -3.701379e-04 -3.619985e-04  2.395755e-05  3.704710e-04
-1.210121e-05  2.363834e-03 -3.325680e-04  1.642325e-03  8.069734e-04  1.843269e-05 -3.026981e-06  3.116002e-03  1.258233e-04 -4.978852e-04
 1.406333e-05 -1.423348e-04 -4.514252e-03  1.535354e-03  1.498123e-04 -2.725049e-03  3.696008e-03  3.506672e-04 -4.195132e-03 -4.016478e-03
-9.159034e-04 -1.625702e-04 -9.931415e-04 -3.408886e-03 -6.353049e-05  1.266199e-03 -1.028970e-04  8.319921e-06 -4.917767e-04 -1.218564e-03
 2.895694e-04  2.914973e-04 -8.863863e-05 -1.930967e-04  1.648098e-04 -4.815187e-04 -1.139146e-03 -1.604996e-03  4.460545e-06 -4.920870e-04
 2.665943e-05  1.169552e-04  3.982709e-05  9.154555e-06  9.433673e-05 -2.580348e-04 -1.917326e-04  3.484744e-05 -5.597256e-04 -7.448092e-04
-4.398749e-05  7.670513e-05 -3.749419e-05  1.937898e-05  2.229025e-05 -5.546303e-07  1.642254e-06  3.916217e-06 -3.525135e-05 -2.797772e-06
-1.034946e-04  9.885062e-05 -2.381719e-04 -5.142614e-07  5.507359e-06  4.207291e-05 -1.081108e-05 -2.930863e-06 -2.840144e-03  8.499466e-05
 8.302796e-04  2.062116e-05 -1.279816e-07 -2.177012e-03  1.599490e-04  1.314416e-06 -3.975047e-04 -2.422638e-06 -5.767259e-04  6.598179e-06
-7.877590e-07  5.478350e-05  3.047273e-04 -1.213986e-03  3.224847e-04  9.473104e-03  2.014017e-05 -4.295975e-05 -1.483310e-05 -2.175170e-03
-3.936948e-05  2.066125e-05 -7.481327e-04 -3.964337e-07  2.721412e-03 -1.273458e-06  1.736258e-05  3.246037e-04 -1.318669e-02 -2.447734e-04
 6.838736e-03 -1.426494e-05  2.143609e-06  1.946455e-03 -2.449855e-05  8.261548e-06  2.794563e-02  4.827233e-06 -5.798606e-01 -8.132040e-01
-3.402472e-03 -1.568022e-03 -6.176214e-05  1.920107e-03  1.605512e-04  2.150784e-06 -2.135048e-05  2.101158e-08 -4.040634e-06 -1.137884e-04
 9.980594e-07 -1.140207e-05 -7.053887e-07 -5.350509e-07  4.143732e-05 -1.115833e-03 -7.004355e-04 -1.009694e-04  3.476694e-05  6.170245e-06
-2.303593e-09 -4.701191e-07  6.302453e-04 -7.519511e-05 -3.371995e-07 -4.597089e-07 
  MODE     130
 2.816546e-06  1.760354e-05  9.577601e-08 -4.573311e-06 -1.021904e-04 -3.085655e-05 -2.345482e-05 -3.371550e-05 -3.565148e-05  2.311663e-04
 1.024496e-04  1.642306e-04  7.637115e-05 -5.361479e-04  1.795470e-06  2.052075e-05  9.329667e-04  1.767669e-05 -1.385626e-05  5.874141e-05
 2.190352e-05  1.185506e-04  1.550992e-03  2.758144e-04  2.608770e-03  2.827690e-06  1.223476e-07  4.995175e-04 -9.026060e-05 -7.895795e-05
 2.659066e-06  2.618610e-03 -1.748731e-04 -1.517228e-03 -1.727020e-04 -4.976193e-04  1.493459e-04 -4.250200e-04 -1.700815e-04 -1.613177e-04
-9.730286e-03  2.158388e-04 -6.260985e-03 -5.388438e-04  4.975040e-05 -1.511864e-03  1.019666e-04 -1.200869e-05 -1.953866e-05 -4.843371e-03
-6.302609e-06  6.360591e-05 -5.596346e-06 -2.937449e-05  6.049406e-06 -7.428349e-05 -2.331123e-04 -6.007525e-05 -3.925499e-06  5.036744e-03
-3.869411e-05  5.101263e-06  1.282995e-06  6.347754e-07 -2.864975e-06  1.177566e-02 -2.643624e-05  2.804489e-06 -1.107140e-04 -2.762398e-05
-5.516183e-03  1.086158e-05  5.547773e-05  2.901720e-06  9.164639e-07  4.989227e-07  1.190111e-07 -2.292205e-07 -1.758616e-03 -3.923093e-07
-2.979058e-06  1.504335e-05  6.654606e-03  2.217609e-07 -1.609993e-06 -3.219803e-03  1.169098e-05  2.303941e-06  6.580581e-04  4.110525e-05
-3.861759e-02 -5.942420e-03  1.257744e-05  4.719745e-05 -3.414654e-06 -2.714633e-06  2.028397e-02 -4.371010e-06  3.814659e-02 -2.172019e-05
 2.444151e-05  1.638812e-02  1.709633e-02  5.148585e-02 -1.988633e-04 -1.650729e-03 -3.960784e-04 -6.642252e-02  1.753949e-05  8.964418e-04
-1.528762e-05 -9.189336e-06 -9.666019e-02  1.539832e-05 -5.280049e-03  2.101104e-05  8.219821e-05 -7.825227e-02  8.017431e-03 -1.495731e-05
 1.758431e-01  7.212360e-05 -5.793177e-06 -1.720145e-02 -2.166237e-05  1.208896e-04 -8.772893e-01 -2.900272e-04 -1.471301e-02 -2.010378e-02
 3.034633e-01 -2.566118e-02 -2.192559e-05 -2.838408e-01 -1.871132e-02  2.490247e-05  1.304238e-03 -4.607984e-07 -7.025293e-04  6.223418e-04
 1.791356e-06  1.963744e-04  1.275431e-05  6.214571e-07 -1.489172e-03 -2.612846e-05 -1.838464e-05  6.822734e-05  1.041398e-05  1.975513e-06
 2.688432e-08  1.016215e-07  1.305830e-05 -4.274358e-06 -1.259940e-04 -2.189670e-06 
  MODE     131
 1.874462e-05 -2.737553e-04 -2.811686e-06  8.149111e-05  3.794984e-04  5.052340e-04  5.287957e-04  4.490852e-04  5.342675e-05 -1.549288e-03
-7.281871e-04 -2.549970e-03 -9.334032e-04 -7.418920e-04 -2.930360e-05  2.610957e-04  1.414637e-04 -4.044751e-04  1.035534e-03 -2.879807e-04
-3.278389e-04 -2.019723e-04 -1.260979e-03 -3.190240e-03  5.469703e-05 -4.095270e-05  6.818321e-07 -6.990231e-03  1.409432e-03  1.137691e-03
-3.218583e-05 -1.085568e-03 -3.209240e-04  4.821903e-03  2.671528e-03  5.692218e-03  2.815973e-04  6.580897e-03 -3.086157e-04 -2.902423e-04
-1.199340e-03 -3.311307e-03 -4.646638e-03  7.956035e-03 -7.706756e-04 -1.604811e-03 -1.584513e-03  1.593149e-04 -2.238555e-05 -4.651073e-04
 2.842908e-04 -5.534297e-04 -3.835334e-06  4.629003e-04  1.139873e-05  1.150830e-03  2.510434e-03 -2.652251e-04  8.689575e-05 -7.339549e-04
 5.880293e-04  6.350160e-06  1.744328e-06 -1.938658e-05  4.778512e-06 -8.766686e-04  4.688161e-04  9.374696e-07  1.192374e-03 -1.281179e-04
-2.480150e-03 -1.878546e-04 -9.060590e-04 -4.580119e-05  3.137612e-07 -5.662571e-07 -2.418602e-06  1.799320e-07  1.393277e-02 -3.620105e-06
-2.810784e-05 -1.649824e-04  6.537771e-03  1.668310e-05  3.917311e-05 -3.452644e-03 -1.714252e-04 -4.913397e-05 -6.649955e-04 -9.743172e-04
-3.403085e-03  6.359922e-03 -1.198065e-04  4.452786e-05  1.013546e-05  8.018042e-05 -6.024386e-03 -2.135304e-05 -2.925376e-03  1.963946e-04
-1.595333e-04  3.453742e-04  9.429292e-04  1.295509e-03  2.096168e-03  1.254103e-03  2.965749e-04 -8.881345e-03 -6.630492e-05 -2.610553e-04
 3.646603e-04  1.357025e-05  8.861307e-03 -1.350304e-05  2.735599e-02 -1.487839e-07  1.996324e-04 -3.373198e-03 -9.398683e-04  1.274755e-03
 3.419752e-03 -4.489225e-05 -4.113018e-05 -2.053194e-02 -7.739624e-05 -6.989046e-05 -4.670631e-02 -3.064100e-05 -9.472224e-04  8.449870e-04
-2.147387e-01 -9.751781e-01 -8.239737e-04  4.388446e-03  2.201874e-02 -2.585740e-05  1.375291e-04 -4.701909e-07 -2.376850e-04  1.603304e-04
 2.832711e-06 -1.367146e-03 -8.891923e-05 -5.490303e-07 -1.235749e-04  1.436493e-06  2.223948e-05  2.722469e-04 -7.351070e-05 -1.352540e-05
-9.477532e-07 -9.515918e-07 -4.811176e-05  4.539299e-05  6.790601e-04  1.094188e-05 
  MODE     132
 4.394899e-06 -4.676311e-05  3.128560e-07  1.321624e-05  2.181258e-05  3.323306e-05  6.489094e-05  7.184827e-05  9.604944e-05 -5.080669e-05
-1.679959e-04 -3.724811e-04 -2.382027e-04 -4.744532e-05  6.586371e-04 -1.770261e-04 -1.808295e-05  5.469689e-06  1.877250e-04 -1.060373e-04
-1.067012e-03 -5.513211e-04 -1.038062e-05 -8.336539e-04  3.612891e-06 -9.953882e-06  9.357235e-07 -1.774676e-03  7.129569e-04  2.873834e-04
-8.136049e-06 -5.942815e-05  8.886822e-04  2.718724e-04  1.268924e-03  1.436893e-03 -7.630592e-04  1.931635e-04  8.565942e-04  8.039396e-04
-1.053005e-04 -2.966811e-04 -7.135831e-05  1.997944e-03  1.902131e-04 -6.053265e-05 -3.712988e-04  2.123894e-03  9.670499e-05 -8.819142e-05
-2.810919e-05 -1.414637e-04  1.719167e-05  1.160836e-04 -3.227218e-05  2.885486e-04  6.123562e-04  3.225051e-04  2.734202e-04 -2.587756e-05
-1.231610e-04 -2.266671e-05 -7.281957e-06 -5.041461e-06 -1.877464e-05 -2.130734e-05  1.182829e-04 -6.864327e-06  2.947862e-04  1.495261e-04
-1.476674e-05 -4.721569e-05 -8.200899e-04 -1.153154e-05 -4.477343e-06  1.310394e-06 -1.992260e-06 -1.008088e-06  1.102700e-05 -1.246727e-02
 1.630596e-05 -4.728074e-05 -6.359517e-06 -3.094871e-04  2.819694e-03  9.432923e-07  4.923940e-04 -8.382976e-03 -4.175397e-05 -1.046839e-04
 5.068254e-06  8.903441e-07  1.388377e-03  1.240647e-06  1.733750e-05  2.307493e-03 -4.206319e-06 -4.256210e-03 -4.690667e-06  1.161410e-03
 3.970937e-03  4.349455e-06 -3.122814e-06 -2.867120e-06  1.064153e-03  4.320820e-05  9.984687e-03 -4.882805e-05 -1.102949e-02 -1.438762e-05
 8.357232e-05 -1.469746e-02  1.070761e-05  1.426504e-02 -1.421760e-05  6.875743e-03 -5.872576e-03 -5.909818e-06 -5.313692e-05  3.131019e-04
-7.800124e-06 -1.395408e-02  1.504715e-02 -6.568333e-06 -4.715046e-03 -1.979706e-02 -1.873723e-07  4.319670e-03  1.337818e-03 -1.085120e-03
 2.205349e-06 -8.452111e-04  9.996793e-01 -3.142813e-06  1.929593e-05  1.541269e-02 -8.867250e-08 -1.372154e-04  1.337869e-07 -3.141857e-07
 1.077066e-04  8.208344e-05 -1.264444e-03  1.052734e-04  4.956439e-08 -2.991675e-06  5.937387e-06  1.054573e-07  1.005089e-05 -5.731581e-05
 1.424635e-04 -6.463223e-05  1.851167e-06  2.523669e-05 -9.057112e-06  5.197729e-04 
  MODE     133
-4.526803e-07 -2.395004e-05 -1.713989e-08  6.799662e-06  9.217636e-05  4.375681e-05  4.082785e-05  4.212812e-05  2.123563e-05  9.236991e-05
-1.743633e-05 -2.240350e-04 -9.057238e-05 -1.501017e-03 -2.169962e-06  5.591789e-06  5.660400e-04 -3.217390e-05  5.927055e-05 -4.648554e-05
-2.902293e-05 -6.701588e-05  3.114439e-03 -3.092798e-04 -3.452638e-03 -3.821983e-06  9.681844e-08 -6.317938e-04  1.234111e-04  1.003672e-04
-3.678396e-06 -9.297227e-04  6.801840e-05 -5.951430e-04  2.348513e-04  5.652536e-04 -5.636750e-05  5.775259e-04  6.458677e-05  6.377237e-05
-1.596325e-03 -2.911847e-04  5.508611e-03  7.016610e-04 -6.735605e-05  3.608457e-04 -1.383905e-04  1.639945e-05  1.069835e-05  1.216785e-02
 1.982473e-05 -6.313029e-05  3.943435e-06  4.037113e-05 -3.268432e-06  9.921724e-05  2.577828e-04  1.340660e-05  6.943583e-06 -8.808592e-03
 5.046586e-05 -2.005328e-06  1.508805e-06  4.359187e-07  1.407570e-05 -2.701269e-02  3.915565e-05 -1.372573e-06  1.227905e-04  5.270302e-06
-7.350119e-03 -1.550158e-05 -7.217978e-05 -3.734743e-06  7.243267e-08  2.912018e-07 -2.362131e-07 -4.984772e-07 -1.176110e-03 -2.279575e-06
 1.129883e-07 -1.653567e-05 -7.427787e-04  2.958395e-07  4.181062e-06 -1.719576e-03 -1.943686e-05 -4.842134e-06 -6.183160e-04 -6.609503e-05
 3.736899e-02 -4.476370e-02 -7.988698e-06  1.444409e-04 -7.453922e-06 -4.582634e-06 -6.960180e-04 -1.773008e-06 -3.175226e-04  1.733998e-05
-3.514317e-05  3.495277e-03 -1.002917e-02 -1.245084e-02  2.230340e-04  1.054151e-03  1.917021e-04  2.334924e-02  9.067886e-06 -8.157726e-04
 2.222040e-05  1.504798e-05  4.822382e-02 -9.734025e-06 -6.214518e-02  1.149296e-05  4.160411e-05 -5.534670e-02 -6.039091e-03  6.489852e-05
-1.094728e-01  7.429464e-06 -8.500007e-06 -1.521119e-02 -3.479901e-05 -8.354054e-05  3.425075e-01  1.566677e-04  3.193711e-03  4.508633e-03
 8.869197e-01 -2.143132e-01 -1.859198e-04 -1.718599e-01 -9.894776e-03  1.507691e-05  2.583981e-05  2.205631e-08  3.146488e-03  7.115177e-05
 9.436606e-07  1.641407e-05  9.566515e-07 -4.091711e-06 -1.271735e-03  5.721774e-05  3.917460e-05 -4.883812e-03  7.386588e-05  1.329004e-05
 1.274798e-08  2.061895e-06  2.768322e-05 -4.536384e-07 -5.530005e-05 -1.549500e-06 
  MODE     134
 5.482794e-07 -7.706293e-06  6.243564e-08  2.321293e-06  4.790826e-05  1.397316e-05  1.471444e-05  1.287888e-05  3.065029e-06  7.797174e-04
 1.852427e-04 -7.257377e-05 -2.843588e-05 -1.950098e-03 -6.394614e-07  4.716633e-06 -9.085803e-04 -1.134607e-05  2.843042e-05 -9.487662e-06
-9.280130e-06 -1.283275e-05  1.611590e-03 -9.300222e-05  3.018206e-04 -1.468880e-06  3.308429e-07 -2.056631e-04  3.981978e-05  3.197289e-05
-1.360796e-06  2.973254e-03  4.148617e-06 -5.299911e-04  7.584283e-05  1.701769e-04 -3.802389e-06  1.865005e-04  4.459947e-06  4.684579e-06
-8.918523e-03 -9.242813e-05 -4.707271e-03  2.372509e-04 -2.132876e-05 -1.932483e-03 -4.522953e-05  6.439252e-06  3.134582e-06  7.616421e-03
 7.418124e-06 -1.668255e-05  5.086431e-07  1.340999e-05  1.265104e-06  3.358922e-05  7.575114e-05 -3.439046e-06  3.270453e-06  8.685701e-03
 1.685287e-05 -4.152865e-07  2.491731e-08 -7.889076e-07 -3.851122e-06  6.348281e-03  1.497729e-05 -8.034742e-07  3.606197e-05 -1.855256e-06
-1.460785e-02 -5.418905e-06 -2.540282e-05 -1.547745e-06  6.571995e-08  4.443521e-07 -1.185808e-07 -3.657459e-07 -2.596046e-03 -2.158105e-06
-1.959585e-07 -4.681121e-06 -4.817489e-03  1.011822e-07  1.653652e-06  1.236448e-03 -6.665665e-06 -1.971803e-06 -7.371234e-05 -2.618199e-05
 2.206083e-02  7.551866e-03 -3.940855e-06  3.534925e-05 -1.209410e-06 -4.191527e-07  1.657578e-02 -5.245064e-06  2.770628e-02  3.265835e-07
-7.798066e-06  4.982828e-03 -5.142720e-03  4.115304e-02  5.891829e-05 -1.965583e-05 -4.930216e-05 -1.298201e-02  7.469177e-06  1.562594e-04
 9.688073e-06  1.506769e-05 -1.329876e-02 -5.857634e-06 -6.156987e-02  1.808706e-05  4.138237e-07  1.025950e-03  4.137092e-03  7.075929e-05
 6.183686e-02  2.867208e-05 -8.386987e-06 -2.313901e-02 -2.686340e-05  1.438161e-05 -1.960835e-01 -6.189906e-05 -2.651394e-03 -3.537420e-03
 2.524015e-01 -4.339530e-02 -3.349417e-05  9.421017e-01 -1.549454e-02  1.987897e-05  1.586168e-04  4.289203e-08  8.708565e-04  6.893918e-04
 2.760719e-06  3.915961e-05  2.609619e-06 -4.490653e-07  3.616269e-03  3.166944e-05  2.119072e-05 -1.538855e-03  2.016421e-05  3.631130e-06
-8.145127e-08  7.086068e-07  6.436582e-06  1.685312e-07 -1.270985e-05 -2.396775e-07 
  MODE     135
 8.750039e-06 -1.369720e-04 -1.366280e-06  4.134331e-05  2.055646e-04  2.769698e-04  2.780794e-04  2.331287e-04  3.144139e-06 -8.289458e-04
-3.532519e-04 -1.405950e-03 -4.553624e-04 -4.824250e-04  1.710183e-03  2.023506e-04 -1.983897e-04 -2.321308e-04  5.237006e-04 -1.341264e-04
 1.201241e-03  5.291644e-05 -1.346899e-04 -1.551341e-03  9.219915e-05 -1.955535e-05  4.588045e-07 -3.409067e-03  8.363069e-04  5.565489e-04
-1.503583e-05 -5.971798e-04 -4.606382e-04  2.742121e-03 -1.507182e-03  2.783898e-03  3.948126e-04  4.250461e-03 -4.387850e-04 -4.148588e-04
-1.093859e-03 -3.274722e-03 -7.650604e-04  3.882453e-03 -2.151523e-03 -6.105821e-04  6.088813e-04 -9.339197e-04 -4.400245e-05 -9.255030e-04
 1.683752e-04 -2.703857e-04 -6.850823e-06  2.257676e-04  1.609417e-05  5.615275e-04  1.236060e-03 -2.476763e-04  5.732774e-04 -2.877224e-04
 1.306167e-03  1.085460e-05  3.176096e-06 -8.775881e-06  8.363402e-06 -2.297342e-04  2.278029e-04  3.353523e-06  5.857524e-04 -1.176534e-04
-1.624760e-04 -9.177842e-05 -1.319565e-03 -2.243795e-05  1.712420e-06 -9.718307e-08 -1.138921e-06  8.365399e-07 -2.089222e-05  5.707187e-03
-1.854866e-05 -7.699779e-05 -6.768952e-05 -1.241032e-03 -3.060199e-04  2.196923e-05 -1.322151e-03  3.233366e-03 -4.209680e-04 -4.607289e-04
 5.328405e-05  9.737398e-06 -5.912381e-03  1.082925e-05  9.683478e-05 -5.486054e-03 -2.319789e-05  6.184373e-03 -4.988914e-05 -2.448006e-03
-1.610922e-02  2.182245e-05 -3.533681e-05 -3.520225e-05 -4.202193e-04  8.329653e-04 -1.908699e-02  1.360194e-04  9.907720e-03 -1.576595e-04
 4.259122e-04  1.325958e-02  1.084940e-04 -2.449710e-02 -4.575123e-05 -4.437866e-03  1.057069e-02  2.442059e-05 -5.322314e-04  3.791408e-04
-1.085742e-04  1.125415e-02 -2.064026e-04 -4.984343e-06 -9.684604e-03  1.152141e-02  2.417188e-05 -6.362540e-04 -9.789167e-04  1.034935e-04
 1.573731e-06  1.249421e-05 -1.395074e-02  1.403401e-05  1.362193e-03  9.988175e-01  5.593197e-07  1.282002e-03 -9.300264e-08 -1.357345e-07
 1.579386e-05 -1.098827e-04  1.692660e-03  3.018080e-04  1.899397e-07  9.139920e-07  1.111977e-05  4.395907e-07 -7.946974e-05  4.488700e-04
-1.252049e-03  1.130198e-03 -1.215631e-05  2.742638e-05  3.001916e-05 -1.758123e-03 
  MODE     136
-5.280140e-06  8.114761e-05  1.186661e-06 -2.390091e-05 -1.239990e-04 -1.538999e-04 -1.570785e-04 -1.336751e-04 -1.025793e-05  7.091079e-04
 2.717222e-04  7.529862e-04  2.683020e-04 -7.457076e-04  8.551007e-06 -9.341033e-05  1.956004e-03  1.257784e-04 -3.013671e-04  8.227415e-05
 9.647453e-05  2.463564e-05 -1.498647e-03  9.141521e-04 -3.940468e-04  1.146626e-05 -3.834427e-07  2.004578e-03 -4.183809e-04 -3.261143e-04
 9.256037e-06  1.907016e-03  1.622843e-04 -1.209237e-03 -7.888329e-04 -1.639532e-03 -1.391071e-04 -1.941715e-03  1.550301e-04  1.470516e-04
-1.699678e-03  9.762967e-04  2.551362e-03 -2.281885e-03  2.275568e-04  4.748776e-04  4.672271e-04 -4.716127e-05  1.402919e-05  6.161408e-04
-8.936161e-05  1.603204e-04  3.659244e-06 -1.326546e-04 -6.217770e-06 -3.298482e-04 -7.261027e-04  1.031707e-04 -2.605711e-05  3.135801e-04
-1.729729e-04 -3.289923e-06 -2.425324e-07  5.625198e-06 -2.916239e-06 -3.661655e-04 -1.342484e-04 -2.008259e-07 -3.446361e-04  4.957656e-05
 1.081388e-03  5.391730e-05  2.658990e-04  1.317271e-05 -1.242745e-07  1.717770e-07  1.014463e-06 -6.270888e-08 -7.045663e-03 -1.607268e-06
 1.097652e-05  4.789087e-05 -4.679502e-03 -4.721940e-06 -1.262225e-05  2.779264e-03  5.029531e-05  1.624044e-05  2.702134e-04  2.854854e-04
-4.071701e-03 -4.198577e-03  3.506396e-05 -1.373023e-05 -3.022002e-06 -2.296646e-05  9.805128e-03  3.627566e-06  9.714273e-03 -5.763211e-05
 4.782354e-05  9.866904e-04  5.310930e-04  4.816514e-03 -6.115461e-04 -2.032681e-04 -3.637581e-05  1.218878e-02  2.165378e-05  1.015168e-04
-1.074858e-04 -2.289083e-06 -1.409807e-02  1.316356e-06 -1.870274e-02  2.872231e-06 -6.647011e-05  1.009725e-02  5.312978e-04 -3.746279e-04
 2.998058e-03  1.261633e-05  1.549797e-05 -1.524625e-03  2.211045e-05  2.572309e-05 -1.457213e-02 -1.779662e-06  2.474758e-04 -2.801246e-04
 2.218753e-02  1.744694e-02  1.591531e-05  6.117593e-03  9.988944e-01 -1.363844e-03  3.522083e-05  3.122506e-08  3.960555e-04 -1.037866e-04
