BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93273.3384473 cm-1
	ZPE2 - ZPE1    :     -474.6401425 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
 1.129631e-03  9.098474e-05  6.146062e-05  1.647130e-04  1.113214e-05 -1.486054e-05  1.621831e-03  1.968855e-06 -1.750977e-05  3.821940e-05
-5.914167e-05  3.495280e-05 -7.267048e-06  1.164309e-02  2.590673e-05  1.420317e-05  3.011669e-03 -8.824819e-06  1.355292e-04 -1.127129e-04
 7.895172e-04 -4.394148e-05  5.140290e-03 -6.579410e-05  7.994955e-06  5.217495e-06 -5.607193e-06 -1.250608e-03  2.271770e-05  1.434931e-03
 1.100284e-02 -1.698783e-03  3.719078e-05 -5.387739e-05 -6.033472e-03 -3.300409e-05 -2.424644e-04 -7.238857e-06 -6.103018e-03  4.123787e-05
-7.396854e-04  6.232267e-03 -1.046711e-05 -1.574248e-05  8.642566e-03  5.999519e-06 -3.440392e-03 -6.908162e-04  2.610801e-04  1.829367e-07
 2.804958e-06  5.418286e-06  2.029886e-03 -2.036666e-05 -1.039689e-02  8.164904e-06 -1.386130e-06  1.526323e-04 -1.938487e-04 -1.899031e-03
-4.163032e-04 -4.267918e-07  8.970822e-03  3.901524e-03  6.822281e-07 -6.598514e-04  1.352189e-04  1.489220e-07 -9.880490e-05  2.288060e-07
 9.783700e-04  1.027671e-03 -3.376848e-06 -8.776080e-05  3.959796e-07 -1.740023e-04  1.042399e-07  3.157326e-04 -1.253595e-06 -2.726838e-05
 4.828393e-06 -3.361279e-07  7.548444e-04  1.682122e-04 -1.196754e-07 -6.886313e-07 
  MODE      23
 3.868269e-02 -7.231945e-04 -5.112504e-03 -6.262601e-03 -1.281268e-02 -7.181541e-02 -4.163729e-02  5.672206e-02 -1.262382e-01  6.049486e-02
 1.591299e-02 -6.440074e-02 -6.015735e-02  3.555722e-02  2.496975e-04  7.568570e-02  1.542518e-02  3.699706e-01  1.774353e-01 -4.126222e-01
 9.074295e-03 -1.434447e-02 -1.000000e+00  4.742779e-01 -1.439583e-02 -4.461135e-03 -4.276102e-03 -2.546441e-01  2.082823e-02 -3.208963e-02
 3.801800e-02 -3.435570e-01  3.530798e-02 -1.810057e-01  1.937601e-01  6.867904e-02  1.718990e-01  4.678608e-01  3.748423e-01 -1.675318e-01
-8.221674e-02 -8.146723e-02 -5.283120e-02 -1.603805e-02  4.848129e-02 -4.597184e-02 -4.983035e-01  1.427215e-01 -6.176319e-03  6.979478e-02
 1.203081e-01 -1.780603e-01  6.078026e-02  8.215909e-02  2.782836e-02  3.067932e-01  2.623690e-01 -2.642339e-01  3.571110e-03 -1.195809e-02
 2.070384e-02 -7.804538e-03  1.940089e-04 -1.828827e-03  1.461992e-02 -7.647715e-03 -6.096484e-02 -1.167650e-02 -1.214943e-02 -1.477954e-01
 1.110234e-01  2.157204e-02 -7.381962e-03 -1.409411e-02  6.396296e-04  1.602141e-03 -4.650016e-04  1.640449e-04 -6.617937e-04  1.190540e-03
-6.237996e-03 -9.482256e-03 -1.778003e-03  5.048636e-03  5.289775e-03  3.428508e-03  1.618640e-03 -2.702756e-03  2.747480e-02 -2.331918e-02
-3.527236e-03 -1.139468e-02 -6.728384e-04 -1.992812e-03  1.788403e-03  2.178234e-03 -1.410695e-03 -5.534280e-04  5.447488e-03 -3.730201e-03
-2.212216e-03 -6.659569e-04  8.721058e-03 -1.340390e-02 -1.605959e-03 -5.593033e-02 -4.764829e-02 -1.900909e-03  1.644237e-03  9.174807e-03
 1.087920e-02 -5.683096e-03 -4.084304e-03 -3.709019e-03  9.873352e-04  7.356417e-04 -8.972993e-03  4.020918e-02  2.679183e-02  7.494171e-04
 1.147779e-03  1.236235e-03 -1.073265e-03 -5.257774e-03  1.271115e-02  2.555961e-03 -6.536502e-04  2.994322e-02 -3.559677e-02  4.041624e-03
 2.089042e-04  9.763076e-05 -2.379708e-03 -3.311702e-04  6.579111e-05 -9.311752e-05 -1.853369e-05  5.963925e-06  2.498229e-06 -1.437332e-06
-3.331354e-05  1.877204e-04 -5.839698e-04  6.533158e-04  5.834423e-05 -3.312697e-05  6.468565e-05  7.829011e-06 -9.465048e-06 -1.108343e-03
 9.878722e-04 -1.838923e-05 -1.077495e-04  3.058784e-06 -5.268888e-06 -5.691656e-05 
  MODE      24
 1.299396e-02  7.622065e-04 -2.107029e-03  2.495976e-03  9.514004e-04  8.959624e-02 -1.718062e-02 -6.497435e-02 -2.896872e-02 -4.356886e-03
-1.322817e-02  2.533609e-02 -4.828878e-02 -2.067421e-03 -1.282722e-04 -1.086253e-01 -6.969427e-04  1.119484e-01 -1.991458e-01 -1.559268e-01
-4.138060e-03  4.737044e-04  8.327606e-01  7.344634e-01  2.837091e-04 -4.704754e-03  4.014951e-03 -6.274277e-02 -7.841817e-03 -3.800134e-02
 3.534974e-02  4.195102e-01 -1.941358e-03  1.927589e-01 -8.741602e-03 -2.886413e-02 -7.239928e-02  4.737242e-02 -2.663222e-01  2.880760e-01
 3.663810e-03  3.426071e-02  2.235633e-03  6.397190e-03 -2.840517e-03  1.864606e-02 -1.728762e-01 -1.493146e-01  2.568999e-03 -3.477455e-03
-1.002332e-01 -3.919360e-02 -5.789599e-02  4.567613e-02 -2.922449e-02  4.492902e-02 -2.019820e-01 -1.008745e-01 -1.476053e-03  4.978421e-03
-1.242988e-03  1.049309e-02 -6.433431e-04 -6.490791e-04 -9.927094e-04  1.071321e-02 -1.638441e-02  1.198551e-02  8.388553e-04 -2.756538e-02
-8.493811e-02 -8.673443e-03 -2.260352e-03  1.456411e-03 -5.911157e-04  2.009097e-04  3.882781e-05 -7.189390e-05  7.106472e-04 -1.512520e-03
 3.850214e-03 -1.431521e-03  6.939786e-04 -3.815978e-04 -2.070679e-03 -1.357577e-03 -1.210006e-04  1.090014e-03 -1.037981e-03  1.040632e-02
 4.279418e-04  4.406921e-03 -5.714591e-05  7.772570e-05 -7.713401e-04 -8.182842e-04  5.523861e-04  4.962847e-05 -2.108263e-03  3.529637e-04
-6.041287e-05  1.864944e-05 -3.423227e-03  5.277456e-03  7.393833e-05  8.912861e-04  2.180878e-02  7.159219e-04 -2.861134e-04 -3.997723e-03
-3.762329e-04  5.653451e-04  1.316179e-03  1.611383e-03 -1.403047e-04 -3.143981e-04  2.353415e-04 -2.738015e-03 -1.429992e-02 -1.707170e-04
-4.522310e-04 -4.762150e-04  9.616994e-05  1.897670e-03 -1.324935e-03 -9.522765e-04  2.413145e-04 -1.400156e-02  6.917802e-04 -4.629009e-04
-1.250716e-05 -2.132243e-05  2.385252e-04  4.644707e-05 -1.147480e-05  2.717123e-05  5.764749e-06 -6.231189e-06  7.273899e-07  6.030882e-07
 4.264693e-06 -1.177721e-05  2.694872e-04 -1.168471e-05 -1.595833e-05  1.029624e-05 -1.956982e-05 -3.484996e-06  4.295580e-06  3.517006e-05
-4.219579e-04  1.742342e-05  1.095406e-05 -1.274259e-06  3.640087e-06  3.098100e-05 
  MODE      25
 5.196944e-04 -2.059460e-06 -6.350458e-05  7.168613e-06  1.620163e-04  1.345326e-03 -8.086325e-04 -8.255136e-04 -2.041893e-03 -1.835584e-03
-1.499287e-04  7.358724e-05  7.789034e-06 -7.067704e-06 -9.275259e-06 -2.091000e-03  1.215067e-02  5.685155e-03 -3.134896e-03 -5.506959e-03
-3.339085e-05 -6.475242e-02  1.750259e-03 -1.295748e-03 -9.927091e-01 -1.212402e-03  9.310983e-04 -5.985478e-03 -6.124463e-05  5.911047e-05
-6.047396e-05  6.597457e-03 -9.133233e-03  2.547563e-03  1.867992e-02 -1.203288e-04 -2.986591e-04  4.873835e-03 -2.158280e-03  4.640601e-03
 2.139050e-02  1.292680e-04  7.889304e-03  1.617832e-05  1.143980e-04  6.210509e-05 -8.671470e-03 -1.748077e-03  1.531586e-05 -1.398921e-02
-1.218657e-03 -2.193726e-03 -3.887215e-04  9.965772e-04 -2.830783e-04  3.439573e-03 -2.138138e-03 -3.573462e-03 -1.222576e-05  1.249472e-05
-8.569712e-03  2.574013e-04 -2.723341e-05 -2.437266e-05 -1.470267e-02  2.710463e-04 -1.024971e-03  1.793471e-04 -6.426154e-03 -1.721824e-03
-8.939590e-04 -2.859259e-05 -1.235279e-04 -3.259388e-04 -9.904597e-06  3.426010e-05 -1.212615e-03 -1.678536e-06  2.006499e-05 -3.749638e-05
 2.640088e-05 -9.020990e-05  1.039634e-06  2.136258e-03 -1.383588e-06 -7.514422e-06  1.655312e-03  1.164888e-05  5.471603e-04  5.860293e-05
 6.404830e-03  1.068440e-05 -1.622311e-02  2.281820e-04 -2.572313e-06 -2.976626e-06  1.016292e-06  1.134263e-03 -5.012785e-06 -2.172746e-03
-9.640952e-03 -3.920919e-03 -7.153661e-06  1.793382e-05  9.033756e-03 -1.072976e-03  1.163445e-04  5.503604e-06 -1.697178e-02 -2.394275e-05
-2.098873e-03  3.181231e-03  9.886061e-07  7.406533e-06 -5.932490e-03 -1.329885e-06 -2.184074e-03  3.192015e-04 -1.202048e-04  1.680992e-06
-3.326232e-06  1.020021e-06 -3.260298e-05  1.775635e-06 -1.453673e-02 -3.966080e-06 -1.474913e-07 -9.215861e-05 -1.069612e-03 -4.622778e-03
-2.822994e-04 -1.080076e-06  1.461869e-02  1.137914e-03  2.705683e-07 -7.349949e-04  1.954904e-04 -1.933145e-07 -6.495689e-06  2.490082e-09
 6.079341e-04 -3.312793e-03  3.192132e-06  3.166885e-04 -2.131474e-07  1.155366e-03  1.429600e-08 -1.285427e-04  5.194936e-07 -1.753339e-04
 8.996750e-07  1.962229e-07  2.625243e-03 -1.094390e-04  3.881451e-08  2.697598e-07 
  MODE      26
-8.575519e-02 -1.270939e-03  1.225330e-02  1.145450e-03  1.512570e-02 -1.743871e-01  1.300745e-01  1.087794e-01  3.315853e-01 -7.196406e-02
 3.129215e-02  1.358134e-02  9.937177e-03 -4.395508e-02 -5.651500e-05  2.466017e-01 -1.987228e-02 -9.355557e-01  3.865485e-01  9.028733e-01
-3.112569e-04  1.825857e-02 -2.250519e-01  2.599082e-01  2.152895e-02 -9.873070e-01  1.355270e-01  9.760534e-01 -5.718283e-03 -3.287339e-02
 2.163217e-02 -8.048693e-01 -4.365629e-02 -3.174989e-01 -2.461598e-01 -8.846845e-03 -2.167309e-02 -8.388573e-01  2.501558e-01 -5.939784e-01
 1.046417e-01  1.034561e-02  6.769925e-02  3.035725e-03 -5.955835e-02  7.942883e-03  1.000000e+00  2.264665e-01  7.608258e-04 -8.769149e-02
 1.380901e-01  3.675057e-01  5.856731e-02 -1.613508e-01  3.700470e-02 -5.906155e-01  2.428256e-01  5.848279e-01 -5.282184e-04  1.673260e-03
-2.533525e-02 -3.195959e-02  2.888698e-03  6.138920e-03 -1.749829e-02 -3.721254e-02  1.683607e-01 -2.136490e-02  1.453290e-02  2.936459e-01
 1.015189e-01 -3.999550e-03  2.054492e-02  5.090999e-02  8.236704e-04 -4.103326e-03  5.255932e-04 -4.360010e-05 -2.009168e-03  4.860453e-03
-3.730915e-03  1.581016e-02  3.694121e-04 -5.919091e-03 -1.137057e-03 -6.979794e-04 -1.904256e-03  5.177196e-04 -3.552849e-02  1.144242e-03
 3.659440e-03  2.640979e-03  1.131232e-03  2.571226e-03 -1.757956e-04 -6.194406e-04  3.294182e-04  6.369244e-04 -1.271807e-03  4.170169e-03
 3.311397e-03  8.853663e-04 -1.823335e-03  2.922044e-03  2.031377e-03  7.608145e-02  6.994039e-04  4.457890e-04 -1.413110e-03 -7.418236e-04
-1.417218e-02  6.260909e-03  1.862613e-03  3.811863e-04 -9.486813e-04 -4.249634e-05  1.192868e-02 -4.829563e-02  5.821186e-03 -5.046899e-04
-2.886237e-04 -2.910010e-04  1.218246e-03  1.636319e-03 -1.379274e-02 -7.794695e-04  2.184253e-04  4.690170e-04  4.804198e-02 -4.247559e-03
-2.387837e-04 -8.816964e-05  2.598449e-03  3.340145e-04 -1.259188e-05  3.136677e-05  9.112370e-06  9.539970e-06 -3.665331e-06 -1.023504e-06
 3.485838e-05 -2.192652e-04  4.048447e-06 -8.905495e-04 -2.518369e-05  1.245112e-05 -3.234904e-05 -2.195638e-06  4.516684e-06  1.459138e-03
-1.106352e-04 -2.963847e-05  1.152621e-04 -3.288478e-06  1.897301e-06 -1.223425e-05 
  MODE      27
-1.571752e-01  6.541213e-03  1.916069e-02  4.279060e-02  7.212449e-02  7.415988e-01  1.625273e-01 -4.832735e-01  5.831815e-01 -3.409094e-01
-2.253503e-01  4.391371e-01  9.900405e-02 -1.990484e-01 -1.830189e-03 -9.700293e-01 -8.602532e-02 -1.000000e+00 -1.000000e+00  1.000000e+00
-6.402128e-02  7.713756e-02  1.000000e+00  8.335153e-01  7.731353e-02 -1.337707e-01 -9.773135e-01  1.000000e+00 -1.406270e-01 -7.562291e-03
-4.468202e-02  1.000000e+00 -1.959506e-01  1.000000e+00 -1.000000e+00 -4.749393e-01 -1.000000e+00 -1.000000e+00 -1.000000e+00  1.000000e+00
 4.547768e-01  5.638937e-01  2.920253e-01  1.097974e-01 -2.706317e-01  3.156786e-01  1.000000e+00 -1.000000e+00  4.262782e-02 -3.874183e-01
-1.000000e+00  8.088237e-01 -3.139347e-01 -2.524813e-01 -1.679807e-01 -1.000000e+00 -1.000000e+00  1.000000e+00 -2.456254e-02  8.266547e-02
-1.155702e-01  1.608097e-01 -1.234698e-02  7.629329e-03 -8.211091e-02  1.935108e-01  2.724228e-01  1.170459e-01  6.824812e-02  6.907515e-01
-9.072484e-01 -1.479444e-01  3.180434e-02  8.845746e-02 -5.327354e-03 -8.200194e-03  2.639200e-03 -1.156933e-03  1.153010e-02 -2.604126e-02
 5.368088e-02  4.520404e-02  1.213161e-02 -2.850038e-02 -3.609283e-02 -2.344091e-02 -9.137063e-03  1.855128e-02 -1.513378e-01  1.635357e-01
 2.052066e-02  7.758946e-02  3.361290e-03  1.099337e-02 -1.242660e-02 -1.474089e-02  9.633147e-03  3.142881e-03 -3.707677e-02  2.124400e-02
 1.165954e-02  3.681539e-03 -5.957726e-02  9.153895e-02  8.875635e-03  3.036505e-01  3.360021e-01  1.286956e-02 -9.888419e-03 -6.399932e-02
-5.980091e-02  3.256310e-02  2.686204e-02  2.587598e-02 -5.884527e-03 -5.142466e-03  4.896108e-02 -2.259822e-01 -1.964937e-01 -4.689136e-03
-7.864317e-03 -8.434179e-03  6.115047e-03  3.528792e-02 -7.317525e-02 -1.725232e-02  4.404092e-03 -2.122664e-01  1.936992e-01 -2.338084e-02
-1.160224e-03 -6.010187e-04  1.369825e-02  2.022456e-03 -3.986252e-04  6.160675e-04  1.226154e-04 -5.852244e-05 -1.428020e-05  1.193942e-05
 1.972984e-04 -1.059598e-03  4.119691e-03 -3.535836e-03 -3.767241e-04  2.224931e-04 -4.111487e-04 -4.930963e-05  5.737469e-05  6.081433e-03
-6.831865e-03  1.721317e-04  6.298577e-04 -1.167074e-05  3.256301e-05  4.210987e-04 
  MODE      28
-1.130740e-01 -3.957934e-04  1.578260e-02  7.598130e-03  2.709013e-02 -7.850472e-02  1.753636e-01  4.582529e-02  4.455203e-01 -1.285020e-01
 4.660798e-04  7.988487e-02  4.040010e-02 -7.711128e-02 -3.103067e-04  1.227863e-01 -3.427601e-02 -1.000000e+00  1.338930e-01  1.000000e+00
-9.757768e-03  3.116929e-02  6.072289e-02  5.515361e-01  3.364912e-02 -5.060531e-02 -2.651704e-03  3.173614e-01 -2.709465e-02  2.400423e-01
-3.566593e-01 -3.508685e-01 -7.619859e-02 -1.066148e-01 -4.255583e-01 -7.997460e-02 -2.000172e-01 -1.000000e+00 -1.408235e-01 -3.962911e-01
 1.807596e-01  9.496545e-02  1.166007e-01  1.958796e-02 -1.046056e-01  5.545329e-02  1.000000e+00  7.580461e-02  7.175183e-03 -1.524234e-01
-4.759704e-03  5.193457e-01  1.653606e-02 -2.478849e-01  1.501782e-02 -8.650942e-01 -5.548812e-02  7.744091e-01 -4.212282e-03  1.408990e-02
-4.456264e-02 -1.062443e-02  1.284976e-03  5.928817e-03 -3.113367e-02 -1.143671e-02  1.983012e-01 -5.697805e-03  2.583910e-02  4.218066e-01
-2.493715e-02 -2.630036e-02  1.966110e-02  6.593287e-02  9.548493e-05 -6.488933e-03  9.668691e-04 -2.158134e-04 -4.618533e-04  1.441269e-03
 3.924197e-03  2.284097e-02  2.209610e-03 -1.064355e-02 -6.596164e-03 -4.232190e-03 -3.418186e-03  3.308849e-03 -6.091420e-02  2.551121e-02
 7.007393e-03  1.438472e-02  1.708867e-03  4.414862e-03 -2.031917e-03 -2.845334e-03  1.781638e-03  1.157018e-03 -6.875985e-03  7.656337e-03
 5.309833e-03  1.498051e-03 -1.083958e-02  1.671690e-02  3.518924e-03  1.274214e-01  5.062131e-02  2.420423e-03 -3.008017e-03 -1.029936e-02
-2.421662e-02  1.160178e-02  5.963238e-03  4.232061e-03 -1.915715e-03 -8.338884e-04  2.016841e-02 -8.581690e-02 -2.286233e-02 -1.253449e-03
-1.460233e-03 -1.565762e-03  2.219021e-03  7.012960e-03 -2.580098e-02 -3.372100e-03  8.761070e-04 -3.099651e-02  8.075120e-02 -8.067600e-03
-4.266368e-04 -1.820755e-04  4.862641e-03  6.672013e-04 -9.021346e-05  1.312198e-04  2.770223e-05  1.831245e-06 -6.412571e-06 -1.607449e-07
 6.744185e-05 -4.014737e-04  6.194066e-04 -1.489243e-03 -8.698493e-05  4.802832e-05 -9.598491e-05 -1.216120e-05  1.443258e-05  2.482293e-03
-1.136845e-03 -5.286844e-06  2.205246e-04 -7.620045e-06  7.682095e-06  4.945611e-05 
  MODE      29
 1.362038e-03  2.768891e-05 -2.632147e-04  6.266995e-04 -1.970044e-04  4.188448e-03 -2.408340e-03 -2.637927e-03 -6.123906e-03  9.338472e-04
-8.042852e-04  2.245132e-04 -3.013206e-04  5.782804e-04  1.490788e-03 -5.869168e-03  2.547719e-04  1.602665e-02 -9.677009e-03 -1.556729e-02
 2.125538e-02 -2.974360e-04  6.678966e-03 -4.939299e-03 -2.436367e-04 -6.580199e-06 -2.430595e-04 -1.381943e-02 -9.911310e-01  1.710151e-03
-3.823603e-03  1.980758e-02  5.818021e-04  7.992913e-03  3.336450e-03  1.833254e-02 -1.935220e-02  1.418665e-02 -7.896106e-03  1.355460e-02
-1.420233e-03  3.016085e-02 -9.066139e-04  4.261718e-03  7.922165e-04 -8.018229e-04 -2.398174e-02 -5.737022e-03  1.518493e-02  1.185650e-03
-3.881574e-03 -6.108736e-03 -1.453293e-03  2.660549e-03 -9.003691e-04  9.761896e-03 -7.153851e-03 -1.038424e-02 -5.105547e-03  1.672407e-02
 3.271308e-04  7.993460e-04 -7.295872e-05 -6.456737e-05  2.298439e-04  9.461499e-04 -2.876741e-03  5.451429e-04 -1.873183e-04 -4.925479e-03
-3.001895e-03 -8.821753e-03 -3.622640e-04 -7.676035e-04 -3.308581e-05  7.766631e-05 -6.156878e-06 -5.705740e-04  5.314755e-05 -1.283498e-04
 1.355698e-04 -2.714984e-04  8.450095e-04  8.563598e-05 -3.305031e-04 -3.238009e-03  2.638375e-05  6.927545e-03  5.024048e-04 -6.669583e-04
-4.238745e-05  1.013564e-02 -1.329692e-05 -3.418853e-05 -2.617165e-04 -3.084339e-03 -3.059574e-04 -8.301443e-06 -1.565732e-03 -4.761958e-05
-4.438091e-05 -1.611146e-05 -1.769821e-02  6.845365e-03 -3.009731e-05 -1.067247e-03 -1.866680e-03  1.132329e-02  1.686609e-05  7.855552e-04
 1.923484e-04 -7.473415e-05  5.437445e-03  1.120300e-03  1.497185e-05 -1.063389e-03 -1.624532e-04  8.777161e-04  1.333176e-03  4.486279e-03
 8.052671e-03 -5.690691e-05 -1.646814e-05  5.428909e-03  1.688136e-04  4.051505e-03  2.483112e-03  1.079725e-03 -6.936260e-04  4.927488e-05
 4.095058e-06 -7.834553e-04 -3.244500e-05 -4.696028e-06  3.626817e-04  3.537235e-06 -1.405917e-08 -1.571617e-04  1.004735e-08 -7.289247e-06
-3.404750e-07  3.102904e-06  7.756146e-05  1.236256e-05 -1.134990e-03 -5.587108e-08 -1.129438e-04  2.940855e-07  6.429775e-05 -1.810978e-05
 1.199628e-04  3.455939e-04 -1.700959e-06  1.472135e-07  8.428341e-05  1.218834e-03 
  MODE      30
 2.058315e-01  8.257727e-04 -2.852348e-02 -1.287885e-02 -4.749998e-02  1.570205e-01 -3.031671e-01 -9.272528e-02 -7.907498e-01  2.253763e-01
-5.178047e-03 -1.355395e-01 -4.183894e-02  1.353652e-01  4.713424e-04 -2.418120e-01  6.020260e-02  1.000000e+00 -2.810216e-01 -1.000000e+00
 1.637680e-02 -5.492113e-02 -6.874773e-02 -7.381303e-01 -5.917058e-02  4.523445e-02  1.951388e-03 -1.000000e+00  4.053603e-02 -3.148755e-01
 9.216029e-01  7.067846e-01  1.336282e-01  2.246123e-01  7.475712e-01  1.348123e-01  3.374988e-01  1.000000e+00  1.995273e-01  7.505175e-01
-3.175073e-01 -1.602960e-01 -2.048781e-01 -3.316547e-02  1.836178e-01 -9.388618e-02 -1.000000e+00 -1.601860e-01 -1.209454e-02  2.676887e-01
-1.239854e-02 -9.210156e-01 -3.594302e-02  4.181910e-01 -3.048983e-02  1.000000e+00  5.710786e-02 -1.000000e+00  7.070042e-03 -2.372739e-02
 7.819897e-02  2.242929e-02 -2.587136e-03 -1.096154e-02  5.462180e-02  2.448705e-02 -3.892290e-01  1.267895e-02 -4.531934e-02 -7.450047e-01
 2.676850e-02  4.450587e-02 -4.510529e-02 -1.608054e-01 -3.127188e-04  1.386072e-02 -1.707325e-03  3.621181e-04  1.065997e-03 -3.190948e-03
-5.988763e-03 -4.247453e-02 -3.766057e-03  1.867764e-02  1.119889e-02  7.154245e-03  6.000104e-03 -5.557873e-03  1.070355e-01 -4.283927e-02
-1.225903e-02 -2.437379e-02 -3.010368e-03 -7.756088e-03  3.418966e-03  4.792133e-03 -3.007833e-03 -2.023576e-03  1.165819e-02 -1.340634e-02
-9.363934e-03 -2.638651e-03  1.833203e-02 -2.821852e-02 -6.186662e-03 -2.241401e-01 -8.479380e-02 -4.106276e-03  5.244515e-03  1.734068e-02
 4.256363e-02 -2.032141e-02 -1.009519e-02 -7.082269e-03  3.352616e-03  1.453115e-03 -3.545801e-02  1.505370e-01  3.741265e-02  2.212716e-03
 2.477840e-03  2.657247e-03 -3.895265e-03 -1.192428e-02  4.519415e-02  5.690985e-03 -1.443752e-03  5.179424e-02 -1.420197e-01  1.411971e-02
 7.565921e-04  2.974026e-04 -8.524975e-03 -1.173976e-03  1.987635e-04 -2.421855e-04 -4.776609e-05 -5.747764e-06  1.190844e-05 -3.708657e-07
-1.170553e-04  7.008656e-04 -1.033398e-03  2.617071e-03  1.410247e-04 -8.210048e-05  1.645434e-04  1.875950e-05 -2.254890e-05 -4.361256e-03
 1.914420e-03  1.225302e-05 -3.834320e-04  1.081978e-05 -9.624765e-06 -7.584357e-05 
  MODE      31
 1.227219e-02 -1.748027e-05 -1.593228e-03 -1.129966e-03 -3.155498e-03 -6.143568e-04 -1.171861e-02  8.716773e-04 -4.958327e-02  1.485324e-02
 2.397803e-03 -1.158473e-02  1.178872e-03  8.786386e-03  4.768666e-05 -7.213944e-04  3.807733e-03  1.318844e-01  7.753469e-03 -1.256140e-01
 1.566408e-03 -3.534186e-03 -2.594279e-02 -5.806052e-02 -3.717470e-03  3.039614e-03  2.575279e-04 -2.263305e-01  3.779179e-03 -9.103969e-01
-3.876870e-01 -6.163567e-03  9.509208e-03 -6.366033e-03  4.869052e-02  1.218649e-02  2.993589e-02  1.467126e-01  4.027132e-02  1.889624e-02
-2.066833e-02 -1.412740e-02 -1.324734e-02 -2.863461e-03  1.206478e-02 -8.166801e-03 -1.788320e-01  4.382926e-03 -1.076253e-03  1.745055e-02
 1.101317e-02 -5.369326e-02  1.382415e-03 -2.205949e-02  2.464733e-04  8.849939e-02  2.683104e-02 -9.130618e-02  6.356147e-04 -2.088425e-03
 5.171980e-03 -6.048299e-04 -1.976624e-06 -7.517754e-04  3.625962e-03 -7.203768e-04 -6.165058e-02 -6.836740e-04 -3.000606e-03 -4.341029e-02
 1.148677e-02  3.842322e-03  1.704272e-02 -3.872273e-03  6.058367e-05  6.952253e-04 -1.165067e-04  2.379406e-05 -8.691152e-05  1.709973e-04
-9.005253e-04 -2.577453e-03 -3.162739e-04  1.224743e-03  9.523736e-04  6.171916e-04  3.916898e-04 -4.837071e-04  6.945431e-03 -3.939953e-03
-8.327492e-04 -2.059246e-03 -1.819097e-04 -5.032582e-04  3.089671e-04  4.114491e-04 -2.560982e-04 -1.312762e-04  9.903264e-04 -9.055497e-04
-5.810908e-04 -1.706551e-04  1.563565e-03 -2.435095e-03 -4.047767e-04 -1.438347e-02 -7.933080e-03 -3.306695e-04  3.750552e-04  1.568908e-03
 2.757564e-03 -1.361837e-03 -8.240971e-04 -6.507495e-04  2.372300e-04  9.796629e-05 -2.291863e-03  9.911474e-03  4.041837e-03  1.516690e-04
 2.162560e-04  2.248243e-04 -2.547893e-04 -9.745455e-04  3.037396e-03  4.971884e-04 -1.301584e-04  4.922010e-03 -9.129926e-03  9.661582e-04
 5.547365e-05  2.052940e-05 -5.803433e-04 -6.019348e-05  4.885766e-06 -2.164620e-05 -6.268868e-06  7.896455e-07  9.883534e-07 -2.222108e-07
-7.866969e-06  4.995656e-05 -9.726682e-05  1.676175e-04  1.517244e-05 -9.137588e-06  1.270177e-05  1.387198e-06 -1.471706e-06 -2.819308e-04
 1.704442e-04 -4.664099e-07 -2.771372e-05  5.135093e-07 -6.713058e-07 -8.239615e-06 
  MODE      32
 3.749578e-02 -1.838134e-03 -4.509092e-03 -1.110606e-02 -1.820208e-02 -2.082856e-01 -3.714970e-02  1.323095e-01 -1.385219e-01  8.597733e-02
 2.202777e-02 -1.139982e-01 -2.534552e-02  5.011337e-02  4.860412e-04  2.598980e-01  2.160491e-02  3.735647e-01  4.542076e-01 -3.822224e-01
 1.672670e-02 -1.932482e-02 -5.574998e-01 -2.068216e-01 -1.955158e-02 -1.012092e-03  9.027542e-04 -2.771027e-01  3.637929e-02  1.194883e-03
 1.408309e-02 -1.000000e+00  5.142855e-02 -5.487890e-01  2.696733e-01  1.236286e-01  3.095120e-01  5.767034e-01  7.335232e-01 -4.968540e-01
-1.143625e-01 -1.466453e-01 -7.335018e-02 -2.850174e-02  6.815989e-02 -8.202307e-02 -4.806586e-01  3.300767e-01 -1.107678e-02  9.742739e-02
 2.739838e-01 -1.958892e-01  1.228612e-01  5.931150e-02  3.704120e-02  3.628249e-01  5.664823e-01 -2.423365e-01  6.384584e-03 -2.148864e-02
