BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93273.3384473 cm-1
	ZPE2 - ZPE1    :     -474.6401425 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
  65  59    A  874.72     0.00025   0.00002    0.00000       0.00    A  869.50     0.00000   0.00000    0.00000       0.00   65   65   0.9971
  66  60    A  876.62     0.00296   0.00019    0.00000       0.00    A  889.62    -0.04521   0.00289    0.00000       0.00   66   66   1.0000
  67  61    A  924.74    -0.00621   0.00041    0.00000       0.00    A  910.36    -0.01122   0.00073    0.00000       0.00   67   67  -1.0000
  68  62    A  927.12    -0.00401   0.00026    0.00000       0.00    A  915.18    -0.06355   0.00412    0.00001       0.01   68   68  -0.9446
  69  63    A  952.44    -0.00022   0.00001    0.00000       0.00    A  949.93    -0.00403   0.00027    0.00000       0.00   69   69   0.0001
  70  64    A  954.90    -0.00042   0.00003    0.00000       0.00    A  949.94    -0.00097   0.00006    0.00000       0.00   70   70  -0.9668
  71  65    A  954.91     0.00064   0.00004    0.00000       0.00    A  952.11    -0.00036   0.00002    0.00000       0.00   71   71  -0.0006
  72  66    A  956.30    -3.90356   0.25896    0.03353      32.06    A  977.57    -2.54621   0.17078    0.01458      14.26   72   72  -0.9805
  73  67    A 1004.42    -0.00203   0.00014    0.00000       0.00    A  977.64     0.07306   0.00490    0.00001       0.01   73   73  -0.0655
  74  68    A 1005.45     0.00693   0.00047    0.00000       0.00    A  987.95    -0.00378   0.00025    0.00000       0.00   74   74   0.0579
  75  69    A 1008.88     0.00478   0.00033    0.00000       0.00    A 1007.49    -0.10063   0.00685    0.00002       0.02   75   75   0.9852
